Date,Open,High,Low,Close,Adj Close,Volume
1967-05-19,0.896434,0.900190,0.892678,0.896434,0.171509,1657300
1967-05-22,0.895182,0.895182,0.875150,0.892678,0.170790,2885300
1967-05-23,0.892678,0.892678,0.881410,0.891426,0.170551,3724000
1967-05-24,0.888922,0.888922,0.862630,0.871394,0.166718,2196400
1967-05-25,0.871394,0.881410,0.870142,0.876402,0.167676,1477600
1967-05-26,0.876402,0.885166,0.873898,0.883914,0.169114,1228000
1967-05-29,0.881410,0.881410,0.863882,0.870142,0.166479,1397700
1967-05-31,0.867638,0.867638,0.856370,0.861378,0.164802,1297900
1967-06-01,0.861378,0.875150,0.855118,0.858874,0.164323,2825400
1967-06-02,0.858874,0.866386,0.847606,0.851362,0.162885,2236400
1967-06-05,0.851362,0.855118,0.838842,0.842598,0.161209,2785500
1967-06-06,0.842598,0.857622,0.842598,0.853866,0.164637,4063400
1967-06-07,0.853866,0.871394,0.845102,0.853866,0.164637,4233200
1967-06-08,0.853866,0.858874,0.842598,0.858874,0.165602,2326200
1967-06-09,0.858874,0.863882,0.853866,0.857622,0.165361,1597400
1967-06-12,0.857622,0.882662,0.856370,0.875150,0.168740,1707200
1967-06-13,0.876402,0.911458,0.876402,0.908954,0.175258,3883700
1967-06-14,0.908954,0.916466,0.883914,0.888922,0.171396,2356200
1967-06-15,0.888922,0.895182,0.876402,0.881410,0.169947,1677300
1967-06-16,0.882662,0.901442,0.882662,0.891426,0.171879,1467600
1967-06-19,0.891426,0.891426,0.882662,0.885166,0.170672,1637300
1967-06-20,0.885166,0.885166,0.870142,0.873898,0.168499,2176500
1967-06-21,0.873898,0.873898,0.853866,0.855118,0.164878,1916900
1967-06-22,0.858874,0.868890,0.858874,0.867638,0.167292,1807100
1967-06-23,0.887670,0.896434,0.887670,0.896434,0.172844,2825400
1967-06-26,0.896434,0.906450,0.863882,0.866386,0.167051,2166500
1967-06-27,0.870142,0.893930,0.870142,0.891426,0.171879,1986800
1967-06-28,0.891426,0.892678,0.876402,0.878906,0.169465,2605800
1967-06-29,0.878906,0.880158,0.863882,0.867638,0.167292,3334600
1967-06-30,0.867638,0.878906,0.866386,0.870142,0.167775,1517500
1967-07-03,0.870142,0.873898,0.866386,0.868890,0.167534,1397700
1967-07-05,0.868890,0.876402,0.867638,0.870142,0.167775,3773900
1967-07-06,0.870142,0.872646,0.865134,0.870142,0.167775,2476000
1967-07-07,0.870142,0.873898,0.860126,0.863882,0.166568,2695600
1967-07-10,0.863882,0.873898,0.858874,0.858874,0.165602,2745600
1967-07-11,0.861378,0.881410,0.861378,0.878906,0.169465,2595800
1967-07-12,0.883914,0.896434,0.883914,0.893930,0.172361,1847000
1967-07-13,0.902694,0.911458,0.902694,0.906450,0.174776,2036700
1967-07-14,0.932742,0.974059,0.932742,0.974059,0.187811,7777500
1967-07-17,0.974059,0.990335,0.966546,0.972807,0.187570,5031900
1967-07-18,0.972807,1.025391,0.970302,1.019131,0.196502,7008700
1967-07-19,1.006611,1.006611,0.995343,0.996595,0.192157,4432800
1967-07-20,0.996595,1.024139,0.986579,1.024139,0.197467,3304700
1967-07-21,1.035407,1.059195,1.035407,1.049179,0.202296,4982000
1967-07-24,1.042919,1.042919,1.021635,1.034155,0.199399,3105000
1967-07-25,1.034155,1.037911,1.015375,1.026643,0.197950,3284700
1967-07-26,1.026643,1.034155,1.025391,1.031651,0.199234,1797100
1967-07-27,1.031651,1.057943,1.029147,1.047927,0.202377,3634100
1967-07-28,1.052935,1.064203,1.052935,1.062951,0.205279,3823800
1967-07-31,1.065455,1.089243,1.065455,1.081731,0.208906,2985200
1967-08-01,1.081731,1.086739,1.076723,1.085487,0.209631,2296300
1967-08-02,1.085487,1.095503,1.081731,1.081731,0.208906,2815400
